CostoDespachoId,Comuna,Valor,Pmin,Pmax,Nombre Comuna,numberID
240,1554,2464,10001,18000,CALETA CAMARONES (XV Región de Arica y Parinacota),1653
241,1555,13505,0,3,CAQUENA (XV Región de Arica y Parinacota),1654
242,1555,3627,"3,1",6,CAQUENA (XV Región de Arica y Parinacota),1654
243,1555,3306,"6,1",10,CAQUENA (XV Región de Arica y Parinacota),1654
244,1555,3159,"10,1",20,CAQUENA (XV Región de Arica y Parinacota),1654
245,1555,2862,21,50,CAQUENA (XV Región de Arica y Parinacota),1654
246,1555,2764,51,100,CAQUENA (XV Región de Arica y Parinacota),1654
247,1555,2690,101,200,CAQUENA (XV Región de Arica y Parinacota),1654
248,1555,2651,201,400,CAQUENA (XV Región de Arica y Parinacota),1654
249,1555,2625,401,600,CAQUENA (XV Región de Arica y Parinacota),1654
250,1555,2590,601,1000,CAQUENA (XV Región de Arica y Parinacota),1654
251,1555,2560,1001,2000,CAQUENA (XV Región de Arica y Parinacota),1654
252,1555,2522,2001,3500,CAQUENA (XV Región de Arica y Parinacota),1654
253,1555,2507,3501,5000,CAQUENA (XV Región de Arica y Parinacota),1654
254,1555,2478,5001,10000,CAQUENA (XV Región de Arica y Parinacota),1654
255,1555,2464,10001,18000,CAQUENA (XV Región de Arica y Parinacota),1654
256,1556,13505,0,3,CHACUYO (XV Región de Arica y Parinacota),1655
257,1556,3627,"3,1",6,CHACUYO (XV Región de Arica y Parinacota),1655
258,1556,3306,"6,1",10,CHACUYO (XV Región de Arica y Parinacota),1655
259,1556,3159,"10,1",20,CHACUYO (XV Región de Arica y Parinacota),1655
260,1556,2862,21,50,CHACUYO (XV Región de Arica y Parinacota),1655
261,1556,2764,51,100,CHACUYO (XV Región de Arica y Parinacota),1655
262,1556,2690,101,200,CHACUYO (XV Región de Arica y Parinacota),1655
263,1556,2651,201,400,CHACUYO (XV Región de Arica y Parinacota),1655
264,1556,2625,401,600,CHACUYO (XV Región de Arica y Parinacota),1655
265,1556,2590,601,1000,CHACUYO (XV Región de Arica y Parinacota),1655
266,1556,2560,1001,2000,CHACUYO (XV Región de Arica y Parinacota),1655
267,1556,2522,2001,3500,CHACUYO (XV Región de Arica y Parinacota),1655
268,1556,2507,3501,5000,CHACUYO (XV Región de Arica y Parinacota),1655
269,1556,2478,5001,10000,CHACUYO (XV Región de Arica y Parinacota),1655
270,1556,2464,10001,18000,CHACUYO (XV Región de Arica y Parinacota),1655
271,1557,13505,0,3,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
272,1557,3627,"3,1",6,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
273,1557,3306,"6,1",10,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
274,1557,3159,"10,1",20,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
275,1557,2862,21,50,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
276,1557,2764,51,100,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
277,1557,2690,101,200,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
278,1557,2651,201,400,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
279,1557,2625,401,600,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
280,1557,2590,601,1000,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
281,1557,2560,1001,2000,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
282,1557,2522,2001,3500,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
283,1557,2507,3501,5000,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
284,1557,2478,5001,10000,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
285,1557,2464,10001,18000,CHAPIQUIÑA (XV Región de Arica y Parinacota),1656
286,1558,13505,0,3,CHICAYA (XV Región de Arica y Parinacota),1657
287,1558,3627,"3,1",6,CHICAYA (XV Región de Arica y Parinacota),1657
288,1558,3306,"6,1",10,CHICAYA (XV Región de Arica y Parinacota),1657
289,1558,3159,"10,1",20,CHICAYA (XV Región de Arica y Parinacota),1657
290,1558,2862,21,50,CHICAYA (XV Región de Arica y Parinacota),1657
291,1558,2764,51,100,CHICAYA (XV Región de Arica y Parinacota),1657
292,1558,2690,101,200,CHICAYA (XV Región de Arica y Parinacota),1657
293,1558,2651,201,400,CHICAYA (XV Región de Arica y Parinacota),1657
294,1558,2625,401,600,CHICAYA (XV Región de Arica y Parinacota),1657
295,1558,2590,601,1000,CHICAYA (XV Región de Arica y Parinacota),1657
296,1558,2560,1001,2000,CHICAYA (XV Región de Arica y Parinacota),1657
297,1558,2522,2001,3500,CHICAYA (XV Región de Arica y Parinacota),1657
298,1558,2507,3501,5000,CHICAYA (XV Región de Arica y Parinacota),1657
299,1558,2478,5001,10000,CHICAYA (XV Región de Arica y Parinacota),1657
300,1558,2464,10001,18000,CHICAYA (XV Región de Arica y Parinacota),1657
301,1559,13505,0,3,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
302,1559,3627,"3,1",6,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
303,1559,3306,"6,1",10,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
304,1559,3159,"10,1",20,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
